Word,Tag
Dislike,ENGLISH
adichavanmar,MALAYALAM
kku,MALAYALAM
vere,MALAYALAM
pani,MALAYALAM
onnun,MALAYALAM
ille,MALAYALAM
avvo,MALAYALAM
.,SYM
Lal,NAME
ettan,NAME
fans,ENGLISH
evide,MALAYALAM
adik,MALAYALAM
likeadutha,OTHER
hit,ENGLISH
loading,ENGLISH
aann,MALAYALAM
makkale,MALAYALAM
.,SYM
summa,OTHER
athruthilla,OTHER
mammokka,NAME
tamil,OTHER
fan,ENGLISH
ungale,OTHER
romba,OTHER
pudikkum,OTHER
.,SYM
bhai,OTHER
mza,OTHER
aajayega,OTHER
dekh,OTHER
kat,OTHER
great,ENGLISH
movie,ENGLISH
.,SYM
Marana,MALAYALAM
mass,ENGLISH
ikkkaaa,NAME
.,SYM
Christ,PLACE
nagar,PLACE
il,MALAYALAM
padicha,MALAYALAM
piller,MALAYALAM
ivide,MALAYALAM
like,ENGLISH
adi,MALAYALAM
.,SYM
All,ENGLISH
bst,ENGLISH
mamukkaby,OTHER
katta,MALAYALAM
lalettan,NAME
faan,ENGLISH
.,SYM
1,NUMBER
karikku,OTHER
kondoyi,MALAYALAM
ketto,MALAYALAM
Sed,ENGLISH
.,SYM
Mass,ENGLISH
Ennu,MALAYALAM
paranjaal,MALAYALAM
patoolla,MALAYALAM
kola,MALAYALAM
mass,ENGLISH
aanu,MALAYALAM
Lalettan,NAME
Prithi,NAME
.,SYM
Ikkayodu,MIXED
muttan,MALAYALAM
inniyum,MALAYALAM
valaraanund,MALAYALAM
palarum,MALAYALAM
smiling,OTHER
face,OTHER
hearts,OTHER
smiling,OTHER
face,OTHER
hearts,OTHER
smiling,OTHER
face,OTHER
hearts,OTHER
.,SYM
Waiting,ENGLISH
waiting,ENGLISH
waiting,ENGLISH
waiting,ENGLISH
waiting,ENGLISH
waiting,ENGLISH
waiting,ENGLISH
waiting,ENGLISH
.,SYM
Still,ENGLISH
trending,ENGLISH
1,NUMBER
4days,ENGLISH
.,SYM
Ettan,NAME
anthannu,MALAYALAM
kandallo,MALAYALAM
ettan,NAME
fans,ENGLISH
hit,ENGLISH
like,ENGLISH
.,SYM
Ee,MALAYALAM
onam,MALAYALAM
ettante,MIXED
pillerk,MALAYALAM
ullatha,MALAYALAM
ettante,MIXED
kude,MALAYALAM
ee,MALAYALAM
aniyan,NAME
marrum,MALAYALAM
kanumenn,MALAYALAM
parajekk,MALAYALAM
.,SYM
50,NUMBER
k,OTHER
likes,ENGLISH
40,NUMBER
minutes,ENGLISH
.,SYM
Dislike,ENGLISH
cheytha,MALAYALAM
ellaa,MALAYALAM
poorimakkalkum,MALAYALAM
naduviral,MALAYALAM
namaskaram,MALAYALAM
.,SYM
like,ENGLISH
mammmukkka,NAME
fans,ENGLISH
frm,ENGLISH
mangalore,PLACE
.,SYM
Sunny,NAME
chechi,NAME
ullath,MALAYALAM
kond,MALAYALAM
cinema,ENGLISH
jayikum,MALAYALAM
.,SYM
Onnil,MALAYALAM
kooduthal,MALAYALAM
like,ENGLISH
adikunna,MALAYALAM
option,ENGLISH
undoooo,MALAYALAM
.,SYM
Lalettante,MIXED
margamkali,MALAYALAM
traileril,MIXED
kanan,MALAYALAM
wait,ENGLISH
cheyyunnavar,MALAYALAM
undo,MALAYALAM
.,SYM
Unni,NAME
mukudan,NAME
fans,ENGLISH
hit,ENGLISH
like,ENGLISH
.,SYM
Trailer,ENGLISH
Varumbol,MALAYALAM
Loke,OTHER
Adikan,MALAYALAM
Nilkunavar,MALAYALAM
Evide,MALAYALAM
like,ENGLISH
eduuu,MALAYALAM
.,SYM
Nalla,MALAYALAM
movie,ENGLISH
aanennu,MALAYALAM
thonunuvineeth,OTHER
sreenivasan,NAME
undallo,MALAYALAM
.,SYM
trailer,ENGLISH
ippozhe,MALAYALAM
manassil,MALAYALAM
orupaad,MALAYALAM
thavana,MALAYALAM
kand,MALAYALAM
kazhinjavar,MALAYALAM
like,ENGLISH
adiche,MALAYALAM
.,SYM
Mammookyde,MIXED
oru,MALAYALAM
padavum,MALAYALAM
fdfs,ENGLISH
kndttla,OTHER
ith,MALAYALAM
FDFS,ENGLISH
locked,ENGLISH
.,SYM
Above,ENGLISH
250,NUMBER
cr,ENGLISH
collection,ENGLISH
kittum,MALAYALAM
ennullavar,MALAYALAM
ivide,MALAYALAM
come,ENGLISH
.,SYM
Brand,ENGLISH
new,ENGLISH
Bmw,ENGLISH
il,MALAYALAM
vannerangum,MALAYALAM
ennu,MALAYALAM
pratheekshichu,MALAYALAM
.,SYM
Ei,MALAYALAM
padamonnu,MALAYALAM
erangikkottay,MALAYALAM
athenu,MALAYALAM
mumbay,MALAYALAM
ningalu,MALAYALAM
thallallay,MALAYALAM
.,SYM
Pulimuruganae,OTHER
polae,MALAYALAM
kidu,MALAYALAM
bgm,ENGLISH
venamayirunnu,MALAYALAM
katta,MALAYALAM
waiting,ENGLISH
.,SYM
Urakkam,MALAYALAM
nashtappettu,MALAYALAM
Ith,MALAYALAM
pinneyum,MALAYALAM
kaanan,MALAYALAM
thonnanu,MALAYALAM
.,SYM
Ingalk,MALAYALAM
keralathil,MIXED
ivane,MALAYALAM
